"Sr. No","Institute Code","Institute Name","CAP I","CAP II","CAP III"
273,6298,"Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune",Download,Download,"-"
274,6303,"Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Karad",Download,Download,"-"
275,6304,"Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita,Sangli",Download,Download,"-"
276,6305,"S.D.N.C.R.E.S'S.Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara",Download,Download,"-"
277,6307,"Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli",Download,Download,"-"
278,6308,"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur(North)",Download,Download,"-"
279,6310,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune",Download,Download,"-"
280,6311,"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi",Download,Download,"-"
281,6313,"Jaywant College of Engineering & Management, Kille Macchindragad Tal. Walva",Download,Download,"-"
282,6315,"Holy-Wood Academy's Sanjeevan Engineering and Technology Institute, Panhala",Download,Download,"-"
283,6317,"Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)",Download,Download,"-"
284,6318,"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",Download,Download,"-"
285,6319,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur",Download,Download,"-"
286,6320,"K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli",Download,Download,"-"
287,6321,"Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur",Download,Download,"-"
288,6322,"Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi",Download,Download,"-"
289,6323,"D. Y. Patil College of Engineering, Ambi, Talegaon, Maval",Download,Download,"-"
290,6324,"Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor",Download,Download,"-"
291,6325,"Alard Charitable Trust's Alard College of Engineering and Management, Pune",Download,Download,"-"
292,6326,"Shri Pandurang Pratishtan, Karmayogi Engineering College, Shelve, Pandharpur",Download,Download,"-"
293,6419,"Nutan College of Engineering and Research, Talegaon Dabhade Tal. Maval, Pune",Download,Download,"-"
294,6466,"Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering & Technology, Karad",Download,Download,"-"
295,6545,"Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi, Varye,Satara.",Download,Download,"-"
296,6609,"Jaihind College Of Engineering,Kuran",Download,Download,"-"
297,6620,"D. Y. Patil Institute of Engineering and Technology, Ambi",Download,Download,"-"
298,6622,"I.S.B.& M. School of Technology, Nande Village",Download,Download,"-"
299,6625,"Universal College of Engineering & Research, Sasewadi",Download,Download,"-"
300,6628,"Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune",Download,Download,"-"
301,6632,"Navsahyadri Education Society's Group of Institutions",Download,Download,"-"
302,6634,"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune",Download,Download,"-"
303,6635,"Samarth Group of Institutions, Bangarwadi, Post Belhe Tal. Junnar Dist. Pune",Download,Download,"-"
304,6640,"N. B. Navale Sinhgad College of Engineering, Kegaon, solapur",Download,Download,"-"
305,6643,"S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur",Download,Download,"-"
306,6644,"Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj",Download,Download,"-"
307,6649,"TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune",Download,Download,"-"
308,6732,"Dr. D. Y. Patil School OF Engineering, Lohegaon, Pune",Download,Download,"-"
309,6754,"International Institute of Information Technology (I2IT), Pune.",Download,Download,"-"
310,6755,"JSPM Narhe Technical Campus, Pune.",Download,Download,"-"
311,6756,"Fabtech Technical Campus College of Engineering and Research, Sangola",Download,Download,"-"
312,6757,"Yashoda Technical Campus, Wadhe, Satara.",Download,Download,"-"
313,6758,"Sahyadri Valley College of Engineering & Technology, Rajuri, Pune.",Download,Download,"-"
314,6759,"Shree Ramchandra College of Engineering, Lonikand,Pune",Download,Download,"-"
315,6762,"Nanasaheb Mahadik College of Engineering,Walwa, Sangli.",Download,Download,"-"
316,6766,"Phaltan Education Society's College of Engineering Thakurki Tal- Phaltan Dist-Satara",Download,Download,"-"
317,6767,"Suman Ramesh Tulsiani Technical Campus: Faculty of Engineering, Kamshet,Pune.",Download,Download,"-"
318,6768,"P.K. Technical Campus, Pune.",Download,Download,"-"
319,6769,"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune.",Download,Download,"-"
320,6770,"SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune.",Download,Download,"-"
321,6772,"NBN Sinhgad Technical Institutes Campus, Pune",Download,Download,"-"
322,6780,"D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,Kolhapur.",Download,Download,"-"
323,6781,"Bhagwant Institute of Technology, Barshi",Download,Download,"-"
324,6782,"Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj",Download,Download,"-"
325,6786,"Dr. D. Y. Patil School of Engineering & Technology, Charholi(Bk), Via Lohgaon, Pune",Download,Download,"-"
326,6787,"Dr. D. Y. Patil Educational Academy's, D.Y.Patil School of Engineering Academy, Ambi",Download,Download,"-"
327,6794,"Anantrao Pawar College of Engineering & Research, Pune",Download,Download,"-"
328,6795,"Shri.Someshwar Shikshan Prasarak Mandals, Someshwar Engineering College, Someshwar Nagar",Download,Download,"-"
329,6796,"Bharati Vidyapeeth's College of Engineering,Lavale, Pune",Download,Download,"-"
330,6797,"Dnyanshree Institute Engineering and Technology, Satara",Download,Download,"-"
331,6802,"Dr. D.Y.Patil Institute of Engineering, Management & Reseach, Akurdi, Pune",Download,Download,"-"
332,6803,"Sant Gajanan Maharaj College of Engineering, Gadhinglaj",Download,Download,"-"
333,6808,"Keystone School of Engineering, Pune",Download,Download,"-"
334,6815,"Vidya Prasarini Sabha's College of Engineering & Technology, Lonavala",Download,Download,"-"
335,6822,"Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet",Download,Download,"-"
336,6834,"Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon",Download,Download,"-"
337,6839,"Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur",Download,Download,"-"
338,6878,"Dr. A. D. Shinde College Of Engineering, Tal.Gadhinglaj, Kolhapur",Download,Download,"-"
339,6901,"MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi",Download,Download,"-"
