"Sr. No","Institute Code","Institute Name","CAP I","CAP II","CAP III"
66,3175,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",Download,Download,"-"
67,3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Download,Download,"-"
68,3181,"K.J.Somaiya College of Engineering, Vidyavihar, Mumbai",Download,Download,"-"
69,3182,"Thadomal Shahani Engineering College, Bandra, Mumbai",Download,Download,"-"
70,3183,"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Download,Download,"-"
71,3184,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Download,Download,"-"
72,3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Download,Download,"-"
73,3187,"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",Download,Download,"-"
74,3188,"Padmabhushan Vasantdada Patil Pratishthans College of Engineering, Sion,Mumbai",Download,Download,"-"
75,3189,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Download,Download,"-"
76,3190,"Terna Engineering College, Nerul, Navi Mumbai",Download,Download,"-"
77,3192,"Smt. Indira Gandhi College of Engineering, Navi Mumbai",Download,Download,"-"
78,3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Download,Download,"-"
79,3194,"Vidyavardhini's College of Engineering and Technology, Vasai",Download,Download,"-"
80,3196,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Download,Download,"-"
81,3197,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Download,Download,"-"
82,3198,"Konkan Gyanpeeth College of Engineering, Karjat",Download,Download,"-"
83,3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Download,Download,"-"
84,3200,"Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri",Download,Download,"-"
85,3201,"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Download,Download,"-"
86,3202,"Rajendra Mane College of Engineering & Technology Ambav Deorukh",Download,Download,"-"
87,3203,"Atharva College of Engineering,Malad(West),Mumbai",Download,Download,"-"
88,3204,"St. Francis Institute of Technology,Borivali, Mumbai",Download,Download,"-"
89,3206,"S.S.P.M.'s College of Engineering, Kankavli",Download,Download,"-"
90,3207,"Mahatma Education Society's Pillai College of Engineering, New Panvel",Download,Download,"-"
91,3208,"Don Bosco Institute of Technology, Mumbai",Download,Download,"-"
92,3209,"K J Somaiya Institute of Engineering and Information Technology, Sion, Mumbai",Download,Download,"-"
93,3210,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)",Download,Download,"-"
94,3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Download,Download,"-"
95,3212,"WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY, ULHASNAGAR",Download,Download,"-"
96,3214,"Xavier Institute Of Engineering C/O Xavier Technical Institute,Mahim,Mumbai",Download,Download,"-"
97,3215,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai",Download,Download,"-"
98,3216,"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Download,Download,"-"
99,3217,"Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",Download,Download,"-"
100,3218,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",Download,Download,"-"
101,3219,"Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur",Download,Download,"-"
102,3221,"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon",Download,Download,"-"
103,3222,"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar",Download,Download,"-"
104,3223,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad",Download,Download,"-"
105,3224,"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat",Download,Download,"-"
106,3351,"Bharat College of Engineering, Kanhor, Badlapur(W)",Download,Download,"-"
