"","Name.of.the.College","State","Institutional.CGPA","Grade","Accreditation.valid.up.to"
"1014","Smt. Maniben M. P. Shah Women's College of Arts and  Commerce, Smt. Parmeshwari Devi  Gordhandas Garodia Educational Complex, 338, R. A. Kidwai Road, Matunga.,Mumbai,Maharashtra,400019 (Third Cycle)","Maharashtra","2.88","B++","2024-08-08"
"1015","INTERNATIONAL INSTITUTE OF MANAGEMENT  HUMAN RESOURCE DEVELOPMENT FOR WOMEN, Sr 54(1,2/1),Nere Dattawadi, Near Hinjewadi Infotech Park, Pune - 411 033,PUNE,Maharashtra,411033 (First Cycle)","Maharashtra","1.98","C","2024-08-08"
"1016","ABASAHEB MARATHE ARTS AND NEW COMMERCE, SCIENCE COLLEGE, RAJAPUR, Abasaheb Marathe Arts and New Commerce, Science College, Vikhare Gothane Rajapur.,Rajapur,Maharashtra,416702 (Third Cycle)","Maharashtra","2.73","B+","2024-08-08"
"1017","SAMAJBHUSHAN GANPATRAO KALBHOR ARTS, COMMERCE AND SCIENCE COLLEGE, Shri Swami Vivekanand Shikshan Sanstha Kolhapurs, Samajbhushan Ganpatrao Kalbhor Arts, Commerce and Science College, Loni Kalbhor, Tal.-Haveli, Dist.-Pune,Lonikalbhor Pune,Maharashtra,412201 (Third Cycle)","Maharashtra","2.53","B+","2024-08-08"
"1018","JUNNAR TALUKA SHIVNER SHIKSHAN PRASARAK MANDAL'S SHRI SHIV CHHATRAPATI COLLEGE, BODKENAGAR,JUNNAR, DIST. PUNE, MAHARASHTRA, AT POST- BODKENAGAR, JUNNAR, TAL- JUNNAR, DIST- PUNE,JUNNAR,Maharashtra,410502 (Third Cycle)","Maharashtra","2.59","B+","2024-08-08"
"1019","MATRIX SCHOOL OF MANAGEMENT STUDIES, Survey No. 9/1/5, 9/2/4, 9/1/4, Off Westernly Bypass Road, Next to Sinhgad Science College, Vadgaon, Ambegaon (Bk.),,Pune,Maharashtra,411041 (First Cycle)","Maharashtra","2.63","B+","2024-08-08"
"1020","VASANTRAO NAIK GOVERNMENT INSTITUTE OF ARTS AND SOCIAL  SCIENCES, Samvidhan (RBI) Square, Pt. Jawaharlal Nehru Marg, Civil Lines, Nagpur,Nagpur,Maharashtra,440001 (Third Cycle)","Maharashtra","2.52","B+","2024-08-08"
"1021","SHREE PANDHARINATH ARTS AND COMMERCE COLLEGE,NARKHED , Opposite to Bus Stand, Narkhed
 Sawargaon Road, Narkhed
 Dist.- Nagpur.,NARKHED,Maharashtra,441304 (Second Cycle)","Maharashtra","2.64","B+","2024-09-08"
"1022","SHIVAJIRAO S. JONDHALE COLLEGE OF ENGINEERING , Behind Venkatesh Petrol Pump, Sonarpada
 Dombivli (East),Dombivli East,Maharashtra,421204 (First Cycle)","Maharashtra","2.6","B+","2024-09-08"
"1023","SHAHID BHAGATSINGH MAHAVIDYALAYA KILLARI , Shahid Bhagatsingh Mahavidyalaya, Killari
 Tq.Ausa, Dist.Latur - 413516
 MS-India,Latur Killari,Maharashtra,413516 (Second Cycle)","Maharashtra","2.42","B","2024-09-08"
"1024","KARMAVEER BHAURAO PATIL COLLEGE OF ENGINEERING, SATARA , Sadar Bazar, Near RTO Office, Satara,Satara,Maharashtra,415001 (First Cycle)","Maharashtra","2.87","B++","2024-09-08"
"1025","TAPI VALLEY EDUCATION SOCIETY'S DHANAJI NANA MAHAVIDYALAYA. , NEHRU VIDYANAGAR, SAVDA ROAD FAIZPUR,FAIZPUR,Maharashtra,425503 (Third Cycle)","Maharashtra","3.24","A","2024-09-08"
"1026","STMEI'S SANDIPANI TECHNICAL CAMPUS FACULTY OF ENGINEERING , GAT NO.23,MAUJE- KOLPA, TAL AND DIST.LATUR, 413512,MAHARASHTRA,Latur,Maharashtra,413512 (First Cycle)","Maharashtra","2.38","B","2024-09-08"
"1027","SANT TUKARAM COLLEGE OF ARTS AND SCIENCE, PARBHANI , Near Old RTO Office, Basmat Road,,Parbhani,Maharashtra,431401 (First Cycle)","Maharashtra","1.95","C","2024-09-08"
"1028","ANJUMAN-I-ISLAM'S KALSEKAR TECHNICAL CAMPUS , PLOT 2 AND 3, SECTOR 16, NEAR THANA NAKA, KHANDAGAON, NEW PANVEL, NAVI MUMBAI,New Panvel Navi Mumbai,Maharashtra,410206 (First Cycle)","Maharashtra","2.65","B+","2024-09-08"
"1029","VPM'S DR.V.N.BEDEKAR INSTITUTE OF MANAGEMENT STUDIES , VPMs Dr.V.N. Bedekar Institute of Management Studies, Building No. 4, Jnanadweep, Thane College Campus, Chendani Bunder Road, Near CiDCO Bus Stop, Thane - West,Thane,Maharashtra,400601 (First Cycle)","Maharashtra","2.97","B++","2024-09-08"
"1030","G.S.TOMPE ARTS, COMMERCE AND SCIENCE COLLEGE, CHANDUR BAZAR - AMRAVATI, MAHARASHTRA , G. S. Tompe Arts, Commerce and Science College, Chandur Bazar, Dist. Amravati -444704,Chandur Bazar,Maharashtra,444704 (Third Cycle)","Maharashtra","2.89","B++","2024-09-08"
"1031","LATE RAJENDRASINGH (BABA) VYAS ARTS AND COMM. COLLEGE, KONDHALI , Budhawar Bazar, Ward no. 03, Kondhali,KONDHALI,Maharashtra,441103 (First Cycle)","Maharashtra","1.96","C","2024-09-08"
"1032","PRERNA COLLEGE OF COMMERCE , Reshimbag Square, Nagpur - 440024,NAGPUR,Maharashtra,440024 (First Cycle)","Maharashtra","2.32","B","2024-09-08"
"1033","MARATHA VIDYA PRASARAK SAMAJ'S ARTS AND COMMERCE COLLEGE , At Post - Vani, Tal. - Dindori, Dist. - Nashik
 Maharashtra - 422215,Vani,Maharashtra,422215 (Third Cycle)","Maharashtra","2.7","B+","2024-09-08"
"1034","ROYAL COLLEGE OF ARTS, SCIENCE AND COMMERCE , Shrishti Hsg Complex, Penkar Pada, Mira Road(E), Dist. Thane,Thane,Maharashtra,401107 (Third Cycle)","Maharashtra","3.09","A","2024-09-08"
"1035","NATWARLAL MANIKLAL DALAL COLLEGE OF ARTS AND COMMERCE , RAM NAGAR
 KUDWA ROAD,Gondia,Maharashtra,441614 (Third Cycle)","Maharashtra","2.1","B","2024-09-08"
"1036","Dada Ramchand Bakhru Sindhu Mahavidyalaya, Nagpur , Kaka Tilokchand Rughwani Marg, Panchpaoli, Nagpur - 440017 (Maharashtra),Nagpur,Maharashtra,440017 (Third Cycle)","Maharashtra","2.55","B+","2024-09-08"
"1037","PUNE DISTRICT EDUCATION ASSOCIATION'S PROF. RAMKRISHNA MORE ARTS, COMMERCE AND SCIENCE COLLEGE , Sec. No. 28, Ganganagar, Pradhikaran,Akurdi Pune,Maharashtra,411044 (Third Cycle)","Maharashtra","3.46","A+","2024-09-08"
"1038","TULSIRAMJI GAIKWAD-PATIL COLLEGE OF ARCHITECTURE , Mohgoan, KH.No .08,NH-7, Wardha Road,Nagpur,Maharashtra,441108 (First Cycle)","Maharashtra","2.47","B","2024-09-08"
"1039","SHRI SADGURU SAIBABA SCIENCE AND COMMERCE COLLEGE, ASHTI, AT POST-ASHTI. CHAMORSHI ROAD, Th- CHAMORSHI,DIST- GADCHIROLI- 442707,
Ashti,
Maharashtra,
442707 (First Cycle)","Maharashtra","2.24","B","2024-09-08"
"1040","D. Y. PATIL INSTITUTE OF MASTER OF COMPUTER APPLICATIONS AND MANAGEMENT,DR. D. Y. PATIL EDUCATIONAL COMPLEX, 
 SECTOR NO. 29, NIGDI-PRADHIKARAN, AKURDI, PUNE,PUNE,Maharashtra,411044 (First Cycle)","Maharashtra","3.09","A","2024-11-14"
"1041","SMT. SURAJDEVI RAMCHAND MOHATA MAHILA MAHAVIDYALAYA,KHAMGAON,Balaji Plots, Near National High School,,KHAMGAON,Maharashtra,444303 (Third Cycle)","Maharashtra","2.51","B+","2024-11-14"
"1042","RIZVI COLLEGE OF ENGINEERING,Rizvi College of Engineering
 Rizvi Educational Complex
 Sherly Rajan Village
 Off Carter Road
 Bandra West
 Mumbai  400050,Mumbai,Maharashtra,400050 (First Cycle)","Maharashtra","2.54","B+","2024-11-14"
"1043","THAKUR INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH,C- Block, Thakur Educational Campus, Shyamnarayan Thakur Marg, Thakur Village, Kandivali (E), Mumbai,Mumbai,Maharashtra,400101 (First Cycle)","Maharashtra","3.29","A+","2024-11-14"
"1044","D.B.F. DAYANAND COLLEGE OF ARTS AND SCIENCE, SOLAPUR,Maharshi Dayanand Saraswati Chowk, Raviwar Peth,Solapur,Maharashtra,413002 (Third Cycle)","Maharashtra","2.8","B++","2024-08-08"
"1045","ALARD COLLEGE OF ENGINEERING  AND MANAGEMENT , PUNE,Survey No  50 , Near Rajiv Gandhi Infotech Park , Phase-II ,Hinjewadi , Marunje , Pune -411057 , Pune , Maharashtra.,PUNE,Maharashtra,411057 (First Cycle) ","Maharashtra","2.16","B","2024-11-25"
"1046","RASHTRIYA SAHAKARI SHIKSHAN PRASARAK MANDAL LTD. SANSTHA'S NANASAHEB YASHAVANTRAO NARAYANRAO CHAVAN ART'S, SCIENCE AND COMMERCE COLLEGE CHALISGAON DIST. JALGAON,Hirapur Road Chalisgaon,Chalisgaon,Maharashtra,424101 (Third Cycle)","Maharashtra","2.77","B++","2024-11-25"
"1047","ST. PAUL COLLEGE,BEHIND VTC GROUND, NEAR GANAPATI MANDIR, ASHELEPADA, ULHASNAGAR 421004,ULHASNAGAR,Maharashtra,421004 (First Cycle)","Maharashtra","1.86","C","2024-11-25"
"1048","K.NARKHEDE COLLEGE BHUSAVAL,BEHIND TECHNICAL HIGHSCHOOL 
 SHRADA NAGAR ,BHUSAVAL -425201
 DIST. JALGAON,JALGAON,Maharashtra,425201 (First Cycle)","Maharashtra","1.59","C","2024-10-17"
"1049","SANMATI ENGINEERING COLLEGE,At.Swargaon Barde, Washim - Malegaon Road, 
 Washim.,Washim,Maharashtra,444505 (First Cycle)","Maharashtra","2.29","B","2024-10-17"
"1050","SHIVAJI MAHAVIDYALAYA GADCHIROLI,Dhanora Road, Gadchiroli  Tq. Dist. Gadchiroli,GADCHIROLI,Maharashtra,442605 (Second Cycle)","Maharashtra","1.9","C","2024-10-17"
"1051","BALLARPUR INSTITUTE OF TECHNOLOGY,VILLAGE - BAMNI, TA., BALLARPUR , DIST. CHANDRAPUR,BALLARPUR,Maharashtra,442701 (First Cycle)","Maharashtra","2.13","B","2024-10-17"
"1052","ASHOKA BUSINESS SCHOOL,URJAYANT PLAZA, NEAR SUMAN PETROL PUMP, MUMBAI-AGRA HIGHWAY, CIDCO, NASHIK, MAHARASHTRA,NASHIK,Maharashtra,422009 (First Cycle)","Maharashtra","2.55","B+","2024-10-17"
"1053","SHRI SWAMI VIVEKANAND SHIKSHAN SANSTHAS'S DR PATANGARAO KADAM ARTS AND COMMERCE COLLEGE, PEN, DIST. RAIGAD- MAHARASHTRA,Near Pen Civil Court, Pen Dist Raigad,Pen,Maharashtra,402107 (Second Cycle)","Maharashtra","1.75","C","2024-10-17"
"1054","SANT GAJANAN MAHARAJ COLLEGE OF ENGINEERING,Site Chinchewadi Gadhinglaj Halkarni Road Tal Gadhinglaj Dist. Kolhapur,Site Chinchewadi  Gadhinglaj Halkarni Road Tal Gadhinglaj Dist kolhapur,Maharashtra,416503 (First Cycle)","Maharashtra","2.77","B++","2024-10-17"
"1055","RAJARSHI SHAHU ARTS AND COMMERCE COLLEGE,A/p Rukadi, Taluka Hatkanangale, District Kolhapur,Rukadi Taluka Hatkananagale District Kolhapur,Maharashtra,416118 (Third Cycle)","Maharashtra","1.91","C","2024-10-17"
"1056","LOK MAHAVIDYALAYA,Bachelor Road, Pratap Nagar,Wardha,Maharashtra,442001 (Third Cycle)","Maharashtra","2.04","B","2024-10-17"
"1057","MARATHA VIDYA PRASARAK SAMAJ'S ARTS, COMMERCE AND  SCIENCE COLLEGE, TRYAMBAKESHWAR,Jawhar Road, Tryambakeshwar,
 Tal- Tryambakeshwar,
 Dist.-Nashik,Nashik,Maharashtra,422212 (Third Cycle)","Maharashtra","2.32","B","2024-10-17"
"1058","PUNE VIDYARTHI GRIHA'S COLLEGE OF SCIENCE,Pune Vidyarthi Grihas College of Science,
 Vidyanagari,S.No. 44, Parvati,,Pune,Maharashtra,411009 (First Cycle)","Maharashtra","2.12","B","2024-10-17"
"1059","SHRI VILE PARLE KELAVANI MANDAL'S DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,PLOT NO. U-15, JVPD SCHEME, BHAKTIVEDANTA SWAMI MARG, VILE PARLE (WEST), MUMBAI 400056.,Mumbai,Maharashtra,400056 (First Cycle)","Maharashtra","3.18","A","2024-10-17"
"1060","KHANDESH COLLEGE EDUCATION SOCIETY'S S.S.MANIYAR LAW COLLEGE,IMR Campus, Ring Road, Jilha Peth, Jalgaon,JALGAON,Maharashtra,425001 (Third Cycle)","Maharashtra","2.5","B","2024-10-17"
"1061","VPM'S MAHARSHI PARSHURAM COLLEGE OF ENGINEERING,At Post - Velneshwar, Hedvi-Guhagar Road, Taluka - Guhagar, District - Ratnagiri,Velneshwar,Maharashtra,415729 (First Cycle)","Maharashtra","2.42","B","2024-10-17"
"1062","GOVINDRAO WANJARI COLLEGE OF ENGINEERING AND TECHNOLOGY,Salai Godhani ,Near Chikana Village ,Hudkeshwar Road,Nagpur,NAGPUR,Maharashtra,441204 (First Cycle)","Maharashtra","2.44","B","2024-10-17"
"1063","DOODHSAKHAR MAHAVIDYALAYA, BIDRI,At/Post  Bidri, Taluka Kagal District Kolhapur,Bidri,Maharashtra,416208 (Third Cycle)","Maharashtra","2.19","B","2024-10-17"
"1064","SHIVPRASAD SADANAND JAISWAL COLLEGE, ARJUNI MORGAON,NEAR RAILWAY STATION, 
 ARJUNI/MORGAON, 
 DISTRICT-GONDIA,ARJUNI MORGAON,Maharashtra,441701 (Third Cycle)","Maharashtra","2.11","B","2024-10-17"
"1065","NARAYANRAO WAGHMARE MAHAVIDYALAYA, AKHADA BALAPUR.,Behind Irrigation Camp, Akhada Balapur.
 Taluka. Kalamnuri Dist.Hingoli,Akhada Balapur,Maharashtra,431701 (First Cycle)","Maharashtra","2.14","B","2024-10-17"
"1066","MARATHWADA MITRA MANDAL'S INSTITUTE OF MANAGEMENT EDUCATION RESEARCH AND TRAINING,S. No. 18, Plot No. 5/3, CTS No. 205, Karve Nagar,PUNE,Maharashtra,411052 (First Cycle)","Maharashtra","3.3","A+","2024-10-17"
"1067","DAYANAND EDUCATION SOCIETY'S DAYANAND COLLEGE OF COMMERCE, LATUR,Dayanand College of Commerce
 Dayanand Education Society Campus,
 Barshi Road,
 Latur - 413531 (MS),Latur,Maharashtra,413531 (Third Cycle)","Maharashtra","2.97","B++","2024-10-17"
"1068","KALWAN EDUCATION SOCIETY'S ARTS, COMMERCE AND SCIENCE COLLEGE,Kalwan, Tal- Kalwan, Dist- Nashik,Kalwan,Maharashtra,423501 (Third Cycle)","Maharashtra","2.03","B","2024-10-17"
"1069","GNVS INSTITUTE OF MANAGEMENT,R.Jaimalsingh Marg, GTB Nagar, Sion-Koliwada (East),,Mumbai,Maharashtra,400037 (First Cycle)","Maharashtra","2.41","B","2024-10-17"
"1070","BHAGWANT INSTITUTE OF TECHNOLOGY,GAT NO.-1242, TADSOUNDANE ROAD, LATUR-KURDUWADI BYPASS, BARSHI.,BARSHI,Maharashtra,413401 (First Cycle)","Maharashtra","2.75","B+","2024-10-17"
"1071","VILLAGE UPLIFT SOCIETY'S ANNASAHEB GUNDEWAR COLLEGE,Gundewar Marg, Chhaoni, Katol Road, Nagpur,Nagpur,Maharashtra,440013 (Third Cycle)","Maharashtra","1.91","C","2024-10-17"
"1072","KRANTISINH NANA PATIL MAHAVIDYALAYA, WALAWE.,A/P-Walawe, Islampur Road, Tal.Walwa Dist. Sangli,Walawe,Maharashtra,416313 (Third Cycle)","Maharashtra","2.87","B++","2024-10-17"
"1073","ARTS,COMMERCE AND SCIENCE COLLEGE,TUKUM, CHANDRAPUR,Near S.T. Workshop, Tukum, Tadoba Road, Chandrapur,Maharashtra,442401 (Second Cycle)","Maharashtra","1.84","C","2025-01-07"
"1074","SHAHADA TALUKA EDUCATIONAL SOCIETY AND CO.OP. EDUCATION SOCIETY LIMITED'S SR. ARTS MAHILA MAHAVIDYALAYA,SHETH V K SHAH VIDYA MANDIR SCHOOL CAMPUS,  DONDAICHA ROAD,SHAHADA,Maharashtra,425409 (Second Cycle)","Maharashtra","2.07","B","2025-01-07"
"1075","CHALISGAON EDUCATION SOCIETY'S .B.P.ARTS, S.M.A SCIENCE AND K.K.C. COMMERCE COLLEGE,Dhule Road,
 Near Adarsh Nagar,Chalisgaon,Maharashtra,424101 (Third Cycle)","Maharashtra","2.68","B+","2025-01-07"
"1076","REAL INSTITUTE OF MANAGEMENT AND RESEARCH,Survey No.30, Sai Shraddha Park,
 Beltarodi Road, Nagpur,Maharashtra,440037 (First Cycle)","Maharashtra","2.24","B","2025-01-07"
"1077","THE BHARAT EDUCATION SOCIETY'S SANT GADGE MAHARAJ COLLEGE OF COMMERCE AND ECONOMICS,Lane No.12 Khetwadi, Grant Road,Mumbai,Maharashtra,400004 (Third Cycle)","Maharashtra","2.38","B","2025-01-07"
"1078","SINDHUDURG SHIKSHAN PRASARAK MANDALS COLLEGE OF ENGINEERING,
 A/P Harkul Budruk
 Tal Kankavali
 Dist- Sindhudurg,Kankavli,Maharashtra,416602 (First Cycle)","Maharashtra","2.73","B+","2025-01-07"
"1079","SAHYOG PRATISHTHAN'S, SAHYOG COLLEGE OF MANAGEMENT STUDIES, Indraratna Palace, Station Road, Jambhali Naka, Thane (W),Maharashtra,400601 (First Cycle)","Maharashtra","1.86","C","2025-01-07"
"1080","PRIYADARSHINI INSTITUTE OF ARCHITECTURE AND DESIGN STUDIES, PRIYADARSHINI CAMPUS, DIGDOH HILLS, HINGNA ROAD,NAGPUR,Maharashtra,440019 (First Cycle) ","Maharashtra","2.78","B++","2025-01-07"
"1081","BURHANI COLLEGE OF COMMERCE AND ARTS,Nesbit Road
 Mazagaon
 Mumbai,Maharashtra,400010 (Second Cycle)","Maharashtra","2.14","B","2025-01-07"
"1082","JANSEVA SHIKSHAN MANDAL'S SHANTARAMBHAU GHOLAP ARTS,SCIENCE AND GOTIRAMBHAU PAWAR COMMERCE COLLEGE,SHIVLE,Gandhi Camp,At post Shivle , Tal - Murbad , Dist.- Thane 421 401 (Third Cycle)","Maharashtra","2.29","B","2025-01-07"
"1083","SIDDHANT COLLEGE OF MANAGEMENT STUDIES,At Post Sudumbare, Tal-Maval, Chakan- Talegaon Road, Dist Pune-412109 (First Cycle)","Maharashtra","1.91","C","2025-01-07"
"1084","DEOLA EDUCATION SOCIETY'S KARMAVEER RAMRAOJI AHER ARTS, SCIENCE  AND COMMERCE COLLEGE, DEOLA, DIST. NASHIK,A/P - Deola ,Maharashtra,423102","Maharashtra","2.64","B+","2025-01-07"
"1085","MARATHWADA INSTITUTE OF TECHNOLOGY, D-sector, Plot.No. 37, N4, Cidco, Aurangabad,Maharashtra,431003 (First Cycle)","Maharashtra","2.39","B","2025-01-07"
"1086","S.K.Somaiya College of Arts,Science and Commerce,Vidyanagar,Vidyavihar(East),
 Mumbai 400077","Maharashtra","2.59","B+","2025-01-07"
"1087","MATOSHRI COLLEGE OF MANAGEMENT AND RESEARCH CENTRE,Eklahare, Near Odhagaon Off Nashik Aurangabad Highway, Tal Dist- Nashik,Maharashtra,422105 (First Cycle)","Maharashtra","2.35","B","2025-01-07"
"1088","JAIKRANTI ARTS SENIOR COLLEGE,Sitaram Nagar, Bh. Ashtavinayak Temple,Latur,Maharashtra,413512 (Second Cycle)","Maharashtra","2.94","B++","2025-01-07"
"1089","RAJGAD DNYANPEETH'S , SHRI CHHATRAPATI SHIVAJIRAJE COLLEGE OF ENGINEERING,Gat No.237, Pune - Bangalore Highway, Dhangawadi, Taluka - Bhor, Dist - Pune,PUNE,Maharashtra,412206 (First Cycle)","Maharashtra","2.97","B++","2025-01-07"
"1090","SHRI NEMINATH JAIN BRAHMACHARYASHRAM (JAIN GURUKULS), KARMVEER KESHAVLALJI HARAKCHANDJI ABAD ARTS, SHRIMAN MOTILALJI GIRIDHARILALJI LODHA COMMMERCE AND SHRIMAN P.H. JAIN SCIENCE COLLEGE,Neminagar, Chandwad Dist. Nashik,Chandwad,Maharashtra,423101","Maharashtra","2.95","B++","2025-01-07"
"1091","YASHWANT COLLEGE, SELU,Near APMC, Sukali Station Road, Selu, Dist. Wardha,Selu,Maharashtra,442104","Maharashtra","1.96","C","2025-01-07"
"1092","THE PEOPLE'S EDUCATION SOCIETY'S JAMKHED MAHAVIDYALAYA,At/Post/Tal- Jamkhed,Maharashtra,413201 (Second Cycle)","Maharashtra","1.99","C","2025-01-07"
"1093","BHARATIYA JAIN SANGHATANA'S ARTS, SCIENCE AND COMMERCE COLLEGE,Bakori Phata, Pune-Nagar Highway, Wagholi, PUNE,Maharashtra,412207","Maharashtra","2.45","B","2025-01-07"
"1094","Seth Hirachand Mutha College of Arts, Commerce  Science,
 Adharwadi Jail Road, Kolivali Village,
 Umbarde Gaon , Kalyan (w) - 421301 (Second Cycle)","Maharashtra","2.07","B","2025-01-07"
"1095","PILLAI COLLEGE OF ENGINEERING,Dr.K.M.Vasudevan Pillai Campus, Sector 16, New Panvel , Navi Mumbai,Maharashtra,410206 (First Cycle)","Maharashtra","3.3","A+","2025-01-07"
