"","Name.of.the.College","State","Institutional.CGPA","Grade","Accreditation.valid.up.to"
"1","A. B. M. S. Parishad's Shri Shahu Mandir Mahavidyalaya, Parvati Ramana, Pune – 411009 (Third Cycle) ","Maharashtra","3.1","A","2022-09-11"
"2","A. G. S. College of Education, Saravali, Boisar (W), Palghar, Thane – 401501 (First Cycle)","Maharashtra","2.52","B+","2022-09-11"
"3","Abhay Yuwa Kalyan Kendra’s Arts Mahila College, Dhule – 424002 (Second Cycle) ","Maharashtra","1.72","C","2021-03-16"
"4","Abhinav Education Society's College of Education, Pune, 411046 (First Cycle)","Maharashtra","2.16","B","2020-04-30"
"5","Adarsh Arts and Commerce College,Dist. Gadchiroli, 441207 (Second Cycle)","Maharashtra","2.16","B","2020-04-30"
"6","Adivasi Seva Sahayyak and Shikshan Prasarak Sanstha's Shri D. H. Agrawal Arts, Shri Rang Avadhoot Commerce and Shri C. C. Shah and M. G. Agarwal Science College, Nawapur – 425418 (Second Cycle) ","Maharashtra","2.78","B","2020-09-13"
"7","Agricultural Development Trust's Shardabai Pawar Mahila College (Arts, Commerce and Science), Baramati, Pune – 413115 (Second Cycle) ","Maharashtra","3.09","A","2021-03-16"
"8","Ahmednagar Jilha Maratha Vidya Prasarak Samaj’s Shri Dhokeshwar College, Ahmednagar – 414304 (Second Cycle) ","Maharashtra","2.21","B","2021-03-16"
"9","Akole Taluka Education Society's Agasti Arts, Commerce And Dadasaheb Rupwate Science College, Ahmednagar – 422601 (Second Cycle) ","Maharashtra","3.06","A","2021-03-28"
"10","All India Shri Shivaji Memorial Society’s College of Hotel Management and Catering Technology, Pune, 411005 (First Cycle)","Maharashtra","3.15","A","2020-04-30"
"11","All India Shri Shivaji Memorial Society's Institute of Information Technology, Pune - 411001 (First Cycle)","Maharashtra","3.09","A","2021-03-28"
"12","Amrutvahini College of Engineering, Sangamner, Ahmednagar – 422608 (First Cycle)","Maharashtra","3.01","A","2021-03-16"
"13","Anekant Education Society's Jaysingpur College, Kolhapur – 416101 (Second Cycle) ","Maharashtra","3.01","A","2021-03-16"
"14","Anjuman Khairul Islam's Poona College of Arts, Science and Commerce, Pune – 411001 (Second Cycle)  ","Maharashtra","2.79","B","2020-09-13"
"15","Anurag Adhyapak Mahavidyalaya, Dist. Bhandara, 441905 (First Cycle)","Maharashtra","2.33","B","2020-04-30"
"16","Appaswami Mahavidyalaya, Shendurjana (Adhao), Tq. Manora, Washim – 444403 (First Cycle)","Maharashtra","2.01","B","2020-09-13"
"17","Aqsa Women's Degree College, Bhiwandi – 421302 (First Cycle)","Maharashtra","1.72","C","2021-03-16"
"18","Armed Forces Medical College, Pune, 411040 (Third Cycle)","Maharashtra","3.66","A","2022-04-30"
"19","Arts and Commerce College, Nagthane, Satara – 415519 (First Cycle)","Maharashtra","2.36","B","2020-11-14"
"20","Arts and Commerce College, Sindhudurg, Phondaghat – 416601 (First Cycle)","Maharashtra","2.16","B","2021-01-18"
"21","Arts, Commerce and Science College, Saraswati Nagar, Gadhinglaj, Kolhapur – 416502 (First Cycle)","Maharashtra","2.22","B","2022-09-11"
"22","Ashokrao Mane Group of Institutions Faculty of Engineering & Management Studies (MBA), Dist. Kolhapur, 416112 (First Cycle)","Maharashtra","3.08","A","2020-04-30"
"23","B. L. Amlani College of Commerce and Economics M. R. Nathwani College of Arts, Vile Parle West, Mumbai – 400056 (First Cycle)","Maharashtra","2.21","B","2022-09-11"
"24","B.B. Arts, N.B. Commerce & B.P. Science College, Dist. Yavatmal, 445203 (Second Cycle)","Maharashtra","2.5","B","2020-05-10"
"25","Baba Naik Mahavidyalaya, Dist. Sangli, 415405 (First Cycle)","Maharashtra","1.9","C","2020-04-30"
"26","Balaghat Shikshan Sanstha's Arts, Science and Commerce College, Osmanabad, Naldurg – 413602 (Second Cycle)","Maharashtra","2.26","B","2021-02-18"
"27","Balbhgwan Shikshan Prasarak Mandals, Swami Vivekanand Mahavidyalaya, Dist. Latur, 413514 (Second Cycle)","Maharashtra","2.67","B","2020-04-30"
"28","Bar. S. K. Wankhede College of Education, Nagpur – 440001 (First Cycle)","Maharashtra","3.11","A","2021-03-16"
"29","Bhadrawati Shikshan Sanstha, Bhadrawati Nilkanthrao Shinde Science and Arts College, Chandrapur – 442902 (Third Cycle)","Maharashtra","2.58","B","2021-03-16"
"30","Bhagini Mandal Chopda's College of Social Work, Jalgaon – 425107 (First Cycle)","Maharashtra","2.66","B","2020-09-13"
"31","Bharatiya Vidya Bhavan’s Hazarimal Somani College of Arts and Science and Jayaramdas Patel College of Commerce and Management Studies, Chowpatty, Mumbai, 400007 (Second Cycle)","Maharashtra","2.61","B","2020-06-24"
"32","Bharatiya Vidya Bhavan's , Bhavan's College, Mumbai, 400058 (Second Cycle)","Maharashtra","3.02","A","2020-04-30"
"33","Bhawabhuti Mahavidyalaya (Arts, Commerce and Science), Amgaon, Gondia – 441902 (Second Cycle) ","Maharashtra","3.11","A","2021-03-16"
"34","Bhiwapur Mahavidyalaya, Nagpur – 441201 (First Cycle)","Maharashtra","2.54","B","2020-11-14"
"35","Birla College of Arts, Science & Commerce, Kalyan,421304 (Third Cycle)","Maharashtra","3.58","A","2023-02-20"
"36","Bombay Physical Culture Association's College of Physical Education, Mumbai – 400031 (Third Cycle)","Maharashtra","3.29","A","2021-05-24"
"37","Br. Balasaheb Khardekar College, Dist. Sindhudurg, 416516 (Second Cycle)","Maharashtra","2.08","B","2020-04-30"
"38","Brijlal Biyani Science College, Amravati, 444605 (Second Cycle)","Maharashtra","2.64","B","2020-04-30"
"39","C. P. and Berar Education Society's College, Tulsibag, Mahal, Nagpur – 440002 (Second Cycle)","Maharashtra","2.76","B++","2022-09-11"
"40","Chh. Shahu  Institute of Business Education and Research, Trust's College of Non-conventional Vocational Courses for Women, Kolhapur – 416004 (Third Cycle)","Maharashtra","2.79","B","2021-02-18"
"41","Clara's College of Commerce, Mumbai – 400061 (First Cycle)","Maharashtra","2.66","B","2021-02-18"
"42","College of Social Work, Kamptee, Nagpur – 441001 (First Cycle)","Maharashtra","2.19","B","2020-11-14"
"43","College of Social Work, Mumbai, 400020 (Third Cycle)","Maharashtra","3.53","A","2022-04-30"
"44","Cosmopolitan's Valia Chhaganlal Laljibhai College of Commerce and Valia Lilavantiben Chhaganlal College of Arts, Mumbai – 400053 (Second Cycle) ","Maharashtra","2.55","B","2021-03-16"
"45","D. M. S. P. Mandal's N. K. Varadkar Arts and R. V. Belose Commerce College, Ratnagiri – 415712 (Third Cycle)","Maharashtra","2.72","B","2021-03-28"
"46","D.A.V. Velankar College of Commerce, Solapur, 413002 (Second Cycle)","Maharashtra","3.01","A","2020-04-30"
"47","D.G Tatkare Mahavidiyalya, Arts Science and Commerce, Dist Raigad, 402104 (First Cycle)","Maharashtra","2.17","B","2020-04-30"
"48","Damani Premratan Bhairuratan Dayanand College of Education, Solapur - 413002 (Second Cycle) ","Maharashtra","2.56","B","2021-03-16"
"49","Datta Meghe Institute of Engineering, Technology and Research, Wardha – 442004 (First Cycle)","Maharashtra","2.5","B","2021-03-28"
"50","Daulat Vishwasth Sanstha's Yashwantrao Chavan Mahavidyalaya, Chandgad, Kolhapur – 416552 (Second Cycle) ","Maharashtra","2.04","B","2021-05-24"
"51","Dayanand College of Law, Latur, 431531 (Second Cycle)","Maharashtra","2.92","B","2020-04-30"
"52","Deccan Education Society’s Brihan Maharashtra College of Commerce, Pune, 411004 (Third Cycle)","Maharashtra","3.16","A","2022-04-30"
"53","Deccan Education Society's Fergusson College, Pune – 411004 (Third Cycle)","Maharashtra","3.62","A","2022-11-14"
"54","Deccan Education Society's Kirti M. Doongursee College of Arts, Science and Commerce, Dadar (West), Mumbai – 400028 (Third Cycle)","Maharashtra","3.39","A","2022-09-11"
"55","Deshbhakt Babasaheb Bhausaheb Khanjire Shikshan Sansthan's Night College of Arts and Commerce, Ichalkaranji – 416115 (Third Cycle) ","Maharashtra","2.8","B","2021-03-16"
"56","Deshbhakta Ratnappa Kumbhar College of Commerce, Kolhapur – 416002 (Second Cycle) ","Maharashtra","3.03","A","2021-05-24"
"57","Dhanaji Nana Chaudhari Vidya Prabodhini's Shirish Madhukarrao Chaudhari College, Jalgaon – 425001 (First Cycle)","Maharashtra","2.1","B","2022-09-11"
"58","Dhanaji Nana Chaudhuri Vidya Prabodhini's College of Social Work, Jalgaon – 425001 (First Cycle)","Maharashtra","3.02","A","2020-11-14"
"59","Dharmabad Shikshan Sanstha’s Lal Bahadur Shastri Mahavidyalaya, Nanded – 431809 (Second Cycle) ","Maharashtra","2.87","B","2021-03-28"
"60","Dnyan Prasarak Mandal's Shikshan Maharshi Dnyandeo Mohekar Mahavidyalaya, Osmanabad – 413507 (Second Cycle) ","Maharashtra","2.36","B","2021-03-16"
"61","Dnyanopasak Shikshan Mandal's, Arts, Commerce & Science College, Dist. Parbhani, 431509 (Second Cycle)","Maharashtra","2.37","B","2020-04-30"
"62","Dnyanopasak Shikshan Mandals’ College of Arts, Commerce and Science, Parbhani – 431401 (Third Cycle)","Maharashtra","3.15","A","2022-09-11"
"63","Dr. Babasaheb Ambedkar College of Social Work, Morane (Nakane), Dhule, 424001 (First Cycle)","Maharashtra","2.52","B","2020-06-24"
"64","Dr. Babasaheb Ambedkar Mahavidyalaya, Dist. Kolhapur, 416112 (Second Cycle)","Maharashtra","2.01","B","2020-04-30"
"65","Dr. D. Y. Patil College of Ayurved and Research Centre, Pune – 411018 (First Cycle)","Maharashtra","3.03","A","2021-01-18"
"66","Dr. D. Y. Patil Homoeopathic Medical College and Research Centre, Pimpri, Pune – 411018 (First Cycle)","Maharashtra","3.22","A","2021-01-18"
"67","Dr. D. Y. Patil Institute of Engineering and Technology, Pune – 411018 (First Cycle)","Maharashtra","3.26","A","2021-03-28"
"68","Dr. D. Y. Patil Pratishthan's Padmashree Dr. D. Y. Patil  Arts, Commerce and Science College, Pune – 411018 (Second Cycle) ","Maharashtra","3.28","A","2021-03-28"
"69","Dr. D. Y. Patil Vidya Pratishthan Society's Padmashree Dr. D. Y. Patil Institute of Pharmaceutical Sciences and Research, Pune – 411018 (First Cycle)","Maharashtra","3.29","A","2021-05-24"
"70","Dr. Datar Science, Dr. Behere Arts and Shri Pilukaka Joshi Commerce College, Dist. Ratnagiri, 415605 (Third Cycle)","Maharashtra","3.15","A","2020-04-30"
"71","Dr. G. D. Pol Foundation YMT College of Management, Sector 4, Institutional Area, Kharghar, Navi Mumbai – 410210 (First Cycle)","Maharashtra","2.78","B++","2022-09-11"
"72","Dr. S.S.M. Pratisthan's College of Education, Dist. Latur, 431515 (First Cycle)","Maharashtra","2.41","B","2020-04-30"
"73","G. H. Raisoni College of Engineering, Digdoh Hills, Nagpur – 440016 (Second Cycle)","Maharashtra","3.51","A+","2022-09-11"
"74","G.H. Raisoni Institute of Management & Research, Nagpur, 441102 (First Cycle)","Maharashtra","2.37","B","2020-04-30"
"75","Gaurishankar Seva Samiti's Vidnyan Mahavidyalaya, Dist. Buldana, Malkapur – 443101 (Second Cycle)","Maharashtra","2.53","B","2020-11-14"
"76","Ghulam Nabi Azad Arts, Commerce and Science College, Akola – 444401 (Second Cycle) ","Maharashtra","3.06","A","2021-03-28"
"77","Gokhale Education Society’s Shri Bhausaheb Vartak Arts, Commerce and Science College, Borivli (West), Mumbai – 400091 (Third Cycle)","Maharashtra","2.6","B+","2022-09-11"
"78","Gokhale Education Society's Arts, Commerce and Science College, Raigad – 402110 (Second Cycle)","Maharashtra","2.11","B","2021-02-18"
"79","Gondia Education Society's Manoharbhai Patel Arts and Commerce College, Gondia – 441619 (Second Cycle)","Maharashtra","2.13","B","2021-01-18"
"80","Government College of Education, Aurangabad, 431005 (Second Cycle)","Maharashtra","3.27","A","2020-04-30"
"81","Government College of Education, Morewadi, Ambajogai – 431517 (Second Cycle)","Maharashtra","2.78","B","2020-11-14"
"82","Government College of Education, Ratnagiri – 415612 (Second Cycle) ","Maharashtra","2.53","B","2021-03-28"
"83","Government Institute of Science, Aurangabad – 431004 (Second Cycle) ","Maharashtra","2.74","B","2021-03-28"
"84","Gram Vikas Shikshan Mandal, Nagpur Rani Indirabai Bhonsale Mahavidyalaya, Nagpur – 441202 (Second Cycle)","Maharashtra","2.05","B","2020-11-14"
"85","Guru Nanak Khalsa College of Arts, Science and Commerce, Mumbai – 400019 (Third Cycle)","Maharashtra","3.54","A","2021-05-24"
"86","Gurukrupa College of Education and Research, Kalyan (West), Thane – 421301 (First Cycle)","Maharashtra","2.13","B","2021-05-24"
"87","Gurukul College of Commerce, Ghatkopar East, Mumbai – 400077  (First Cycle)","Maharashtra","2.22","B","2022-09-11"
"88","Gurunanak College of Pharmacy, Nagpur – 440026 (First Cycle)","Maharashtra","2.3","B","2021-05-24"
"89","Hashu Advani College of Special Education, Mumbai – 400074 (First Cycle)","Maharashtra","2.26","B","2021-03-28"
"90","Hindustani Education Society's Azad Mahavidyalaya, Ausa Tq., Latur – 413520 (Second Cycle)","Maharashtra","2.67","B","2021-01-18"
"91","Hon. Shri. Dadapatil Rajale Shikshan Sanstha's Dadapatil Rajale Arts and Science College, Ahmednagar – 414505 (Second Cycle)","Maharashtra","2.32","B","2021-02-18"
"92","IQRA Education Society's IQRA College of Education, Jalgaon – 425001 (First Cycle)","Maharashtra","2.45","B","2021-03-16"
"93","J. D. College of Engineering and Management, Nagpur – 440018 (First Cycle)","Maharashtra","3.16","A","2022-09-11"
"94","J. D. M. V. P. Co-op. Samaj’s Shri S. S. Patil Arts, Shri Bhausaheb T. T. Salunkhe Commerce and Shri G. R. Pandit Science College, Jalgaon – 425001 (Second Cycle) ","Maharashtra","2.6","B","2021-03-16"
"95","J. D. M. V. P. Co-op. Samaj's Arts, Science and Commerce College, Varangaon, Jalgaon – 425305 (Second Cycle)","Maharashtra","1.91","C","2021-02-18"
"96","Jai Hind College, Mumbai – 400020 (Third Cycle)","Maharashtra","3.52","A","2023-01-18"
"97","Jaikranti Shikshan Prasarak Mandal, Kava's Shivaji Mahavidyalaya, Latur – 413527 (Second Cycle)","Maharashtra","2.15","B","2021-01-18"
"98","Jalgaon Jilla Maratha Prasarak Sahakari Samaj Arts, Commerce and Science College, Yawal, Jalgaon – 425301 (Second Cycle)","Maharashtra","2.31","B","2021-01-18"
"99","Jalna Education Society's R. G. Bagdia Arts, S. B. Lakhotia Commerce and R. Bezonji Science College, Jalna – 431203 (Second Cycle) ","Maharashtra","2.67","B","2020-09-13"
"100","Janshakti Shikshan Sanstha Pandharkawada Shri Babasaheb Deshmukh Parwekar Mahavidyalaya, Pandharkawada – 445302 (Second Cycle) ","Maharashtra","1.83","C","2020-09-13"
"101","Jeevan Jyot Educational Trusts Reena Mehta College of Commerce and Management Studies, Bhayander (West), Thane – 401101 (First Cycle)","Maharashtra","2.41","B","2022-09-11"
"102","Jijamata Education Society’s Arts, Science and Commerce College, Nandurbar – 425412 (Second Cycle) ","Maharashtra","2.85","B","2021-03-16"
"103","JSSP's Arts, Commerce and Science College, Goveli, Rayate P.O., Dist. Thane, Kalyan – 421301 (First Cycle)","Maharashtra","1.57","C","2020-11-14"
"104","Jyotiba Fule College of Education, Nagpur, 440025 (First Cycle)","Maharashtra","2.48","B","2020-04-30"
"105","K. J. Somaiya College of Science and Commerce, Mumbai – 400077 (Third Cycle)","Maharashtra","3.24","A","2023-05-24"
"106","K. J. Somaiya Comprehensive College of Education, Training and Research, Mumbai – 400077 (Third Cycle)","Maharashtra","3.07","A","2021-01-18"
"107","K. Z. S. Science College, Bramhani, Kalmeshwar, Nagpur – 441501 (Second Cycle) ","Maharashtra","2.19","B","2021-03-16"
"108","Kamala Education Society's Pratibha College of Commerce and Computer Studies, Pune – 411019 (First Cycle)","Maharashtra","2.6","B","2020-11-14"
"109","Kannada Sangha Pune's Kaveri College of Science and Commerce, Pune – 411038 (First Cycle)","Maharashtra","2.37","B","2020-09-13"
"110","Karve Institute of Social Service, Pune – 411052 (Third Cycle)","Maharashtra","3.3","A","2021-02-18"
"111","Khandesh College Education Society's College of Engineering and Information Technology, Jalgaon – 425001 (First Cycle)","Maharashtra","2.53","B","2021-05-24"
"112","Khorshedbanu R. Mewawala Mahila Arts & Commerce Mahavidyalaya, Nanded, 431601 (Second Cycle)","Maharashtra","2.05","B","2020-04-30"
"113","Kisan Shikshan Prasarak Mandal's Shivaji Mahavidyalaya, Latur District, Udgir – 413517 (Second Cycle)","Maharashtra","2.78","B","2020-11-14"
"114","Kishinchand Chellaram College, Churchgate, Mumbai, 400020 Maharashtra (Third Cycle)","Maharashtra","3.41","A","2021-12-09"
"115","Kolhapur Municipal Corporation's Yashwantrao Chavan (K.M.C.) College, Kolhapur – 416012 (Second Cycle) ","Maharashtra","1.61","C","2021-03-16"
"116","Krantiveer Vasantrao Narayanrao Naik Shikshan Prasarak Sanstha’s Arts and Commerce College, Nashik – 422202 (First Cycle)","Maharashtra","2.51","B","2021-01-18"
"117","Krantiveer Vasantrao Narayanrao Naik Shikshan Prasarak Sanstha's Arts, Commerce & Science College, Nashik, 422002 (Second Cycle)","Maharashtra","2.34","B","2020-04-30"
"118","Krishak Education Societies Arts, Commerce and Science College, Arvi, Wardha – 442201 (Third Cycle)","Maharashtra","2.53","B+","2022-09-11"
"119","Lala Lajpat Rai ollege of Commerce and Economics, Mumbai – 400034 (Third Cycle)","Maharashtra","3.01","A","2020-09-13"
"120","Late Annasaheb R. D. Deore Arts and Science College, Mhasadi, Sakri, Dhule – 424304 (First Cycle)","Maharashtra","2.41","B","2021-01-18"
"121","Late Digambarrao Bindu Smarak Samiti's Digambarrao Bindu Arts and Commerce College, Nanded – 431801 (Second Cycle) ","Maharashtra","2.4","B","2021-05-24"
"122","Late Pundalikrao Gawali Arts and Science Mahavidyalaya, Washim – 444504 (First Cycle)","Maharashtra","2","C","2021-05-24"
"123","Late Shri Vishnu Waman Thakur Charitable Trust's Bhaskar Waman Thakur College of Science Yashvant Keshav Patil College of Commerce and Vidhya Dayanand Patil College of Arts, Thane – 401303 (First Cycle)","Maharashtra","2.69","B","2021-02-18"
"124","Laxman Devram Sonawane College of Arts and Commerce, Kalyan (W) – 421301 (First Cycle)","Maharashtra","2.42","B","2020-11-14"
"125","Laxmi Education Society's Shri. Chinai College of Commerce and Economics, Mumbai – 400069 (Second Cycle)","Maharashtra","2.21","B","2021-02-18"
"126","M. S. P. Mandal’s Deogiri College, Aurangabad – 431005 (Third Cycle)","Maharashtra","3.75","A","2021-03-16"
"127","MAEER's MIT School of Education and Research, Pune – 411038 (First Cycle)","Maharashtra","2.93","B","2021-05-24"
"128","Maharashtra Education Society's Abasaheb Garware College, Pune – 411004 (Third Cycle)","Maharashtra","3.25","A","2021-03-28"
"129","Maharashtra Education Society's Maharashtra Udayagiri Mahavidyalaya, Udgir, Latur – 413517 (Second Cycle)","Maharashtra","3.04","A","2020-11-14"
"130","Maharshi Karve Stree Shikshan Samstha's K. B. Joshi Institute of Information Technology, Pune – 411052 (First Cycle)","Maharashtra","2.08","B","2021-05-24"
"131","Mahatma Gandhi Mission’s Dental College and Hospital, Navi Mumbai – 410209 (First Cycle)","Maharashtra","3.15","A","2021-07-10"
"132","Mahatma Gandhi Vidyamandir's Arts, Science and Commerce College, Nashik – 422204 (Second Cycle) ","Maharashtra","2.52","B","2021-03-16"
"133","Mahila Mahavidyalaya, Jog Chowk, Amravati – 444601 (Second Cycle)","Maharashtra","2.56","B","2021-01-18"
"134","Malad Kandivli Education Society’s, Nagindas Khandwala College of Commerce, Arts & Management Studies And Shantaben Nagindas Khandwala College of Science, Malad (West), Mumbai, Maharashtra (Third Cycle)","Maharashtra","3.32","A","2020-10-24"
"135","Manavlok’s College of Social Sciences, Dist Beed, 431517 (First Cycle)","Maharashtra","2.23","B","2020-04-30"
"136","Mangaon Taluka Education Society’s  Doshi Vakil Arts College and G. C.U. B. Science and Commerce College, Raigad – 402103 (First Cycle)","Maharashtra","2.54","B","2021-03-28"
"137","Manghanmal Udharam College of Commerce, Pimpri, Pune – 411017 (Third Cycle)","Maharashtra","2.78","B++","2022-09-11"
"138","Maniben Nanavati Women's College, Mumbai – 400056 (Third Cycle)","Maharashtra","3.02","A","2021-03-28"
"139","Marathwada Sanskritik Mandal's College of Physical Education, Khadkeshwar, Aurangabad – 431001 (Second Cycle)","Maharashtra","2.74","B","2021-02-18"
"140","Marathwada Shikshan Prasarak Mandal's R. B. Attal Arts, Science and Commerce College, Georai – 431127 (Third Cycle)","Maharashtra","2.78","B","2021-03-28"
"141","Marathwada Shikshan Prasarak Mandal's Vinayakrao Patil Mahavidyalaya, Vaijapur, Aurangabad – 423701 (Third Cycle)","Maharashtra","3.33","A","2021-03-28"
"142","Marutirao Harirao Mahadik Arts and Commerce College, Madha, Modnimb, Solapur – 413301 (Second Cycle)","Maharashtra","2.17","B","2022-09-11"
"143","Matoshri College of Engineering and Research Centre, Nashik – 422105 (First Cycle)","Maharashtra","2.14","B","2021-02-18"
"144","Maulana Azad College of Arts, Science and Commerce, Aurangabad – 431001 (Second Cycle) ","Maharashtra","3.03","A","2020-09-13"
"145","Maulana Azad Education Society's Marathwada College of Education, Aurangabad – 431001 (Second Cycle) ","Maharashtra","3.11","A","2021-05-24"
"146","Mauli Vidyapeeth's Mahila Kala Mahavidyalaya, Beed – 431122 (Second Cycle) ","Maharashtra","2.47","B","2020-09-13"
"147","Modern Education Society's College of Engineering, Pune – 411001 (First Cycle)","Maharashtra","3.13","A","2020-09-13"
"148","Modern Education Society's, College of Education, Dist. Sangli, 415311 (Second Cycle)","Maharashtra","2.73","B","2020-04-30"
"149","Moreshwar Shikshan Prasarak Mandal's Moreshwar Arts, Science and Commerce College, Bhokardan, Jalna – 431114 (Second Cycle)","Maharashtra","2.41","B","2020-11-14"
"150","Nagar Parishad Shivaji Mahavidyalaya, Dist. Nagpur, 441303 (Second Cycle)","Maharashtra","2.02","B","2020-04-30"
"151","Nashik District Maratha Vidya Prasarak Samaj’s Karmaveer Adv. Baburao Ganpatrao  Thakare College of Engineering, Nashik – 422013 (First Cycle)","Maharashtra","3.02","A","2022-09-11"
"152","National Education Society's Ratnam College of Arts, Science and Commerce, Bhandup (W), Mumbai – 400078 (Third Cycle)","Maharashtra","3.02","A","2022-09-11"
"153","Navjeevan Law College, Nashik - 422009 (Second Cycle) ","Maharashtra","2.01","B","2021-03-28"
"154","Navnirman Shikshan Sanstha’s Laxmibai Sitaram Halbe College of Arts, Commerce and Science, Kasai-Dodamarg, Sindhudurg – 416512 (First Cycle)","Maharashtra","2.08","B","2022-09-11"
"155","Nav-Sahyadri Charitable Trust's College of Education, Pune – 410501 (First Cycle)","Maharashtra","2.01","B","2020-09-13"
"156","NCRD's Sterling College of Arts, Commerce and Science, Navi Mumbai – 400706 (First Cycle)","Maharashtra","1.89","C","2020-09-13"
"157","Night College of Arts and Commerce, Kolhapur – 416002 (Second Cycle)","Maharashtra","2.71","B","2021-02-18"
"158","Nirmala Memorial Foundation College of Commerce and Science, Kandivali (East), Mumbai – 400101 (First Cycle)","Maharashtra","2.8","B++","2022-09-11"
"159","Padmashree Dr. D.Y. Patil Institute of Management Studies, Pune, 411044 (First Cycle)","Maharashtra","3.09","A","2020-04-30"
"160","Padmashree Dr. Vithalrao Vikhe Patil Foundation’s College of Physiotherapy, Ahmednagar, 414111 (First Cycle)","Maharashtra","2.27","B","2020-04-30"
"161","Padmashree Dr. Vithalrao Vikhe Patil Foundation's College of Pharmacy, Ahmednagar – 414111 (First Cycle)","Maharashtra","2.72","B","2021-03-28"
"162","Padmashree Dr. Vithalrao Vikhe Patil Foundation's Institute of Business Management and Rural Development, Ahmednagar – 414111 (First Cycle)","Maharashtra","3.11","A","2021-01-18"
"163","Padmashri Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar – 414111 (First Cycle)","Maharashtra","2.35","B","2021-03-28"
"164","Pen Education Society’s Bhausaheb Nene  Arts, Science and Commerce College, Raigad, Pen – 402107 (Second Cycle)","Maharashtra","2.2","B","2021-07-10"
"165","People’s Welfare Society’s Dr. Madhukarrao Wasnik P. W. S. College, Teka Naka, Nagpur – 440026 (Third Cycle)","Maharashtra","2.65","B+","2022-09-11"
"166","Pimpalner Education Society's Karm. A. M. Patil Arts, Commerce and Kai. Annasaheb N. K. Patil Science Senior College, Pimpalner – 424306 (Second Cycle) ","Maharashtra","2.44","B","2020-09-13"
"167","Prathibha Niketan Education Society's Prathibha Niketan Mahavidyalaya (Arts, Commerce and Science), Nanded – 431601 (Second Cycle) ","Maharashtra","2.48","B","2020-09-13"
"168","Pratishthan Education Society's Pratishthan Mahavidyalaya, Paithan – 431107 (Second Cycle) ","Maharashtra","2.51","B","2021-03-28"
"169","Pravara Rural Education Society's Arts, Science and Commerce College, Dist.-Ahmednagar, 413710 (First Cycle)","Maharashtra","3.1","A","2020-04-30"
"170","Priyadarshini College of Education, Nagpur – 440022 (First Cycle)","Maharashtra","2.74","B","2021-03-16"
"171","Pune District Education Association's Seth Govind Raghunath Sable College of Pharmacy, Pune – 412301 (First Cycle)","Maharashtra","2.61","B","2020-11-14"
"172","Rajaram College, Kolhapur – 416004 (Second Cycle) ","Maharashtra","3.23","A","2021-03-16"
"173","Rajarshi Shahu Arts, Commerce and Science College, Pathri, Phulambri, Aurangabad – 431111 (First Cycle)","Maharashtra","2.13","B","2022-09-11"
"174","Rajarshi Shahu Education Soceity's Yeshwantrao Chavan College of Arts, Commerce and Science, Sillod, Aurangabad – 431112 (Second Cycle) ","Maharashtra","2.21","B","2020-09-13"
"175","Rajgad Dnyanpeeth's Sou. Nirmalatai Thopate College of Education, Dist. Pune, 412206 (Second Cycle)","Maharashtra","3.11","A","2020-04-30"
"176","Rajiv Gandhi College of Arts, Commerce and Science, Navi Mumbai – 400703 (First Cycle)","Maharashtra","2.32","B","2021-02-18"
"177","Ramanand Arya D. A. V. College,Bhandup (East), Mumbai – 400042 (Second Cycle) ","Maharashtra","3.19","A","2020-09-13"
"178","Ramji Assar Vidyalaya’s Laxmichand Golwala College of Commerce and Economics, Mumbai – 400077 (First Cycle)","Maharashtra","2.81","B","2021-05-24"
"179","Rani Laxmibai Mahila Mahavidyalaya, Nagpur – 441306 (First Cycle)","Maharashtra","2.01","B","2021-05-24"
"180","Rayat Shikshan Sanstha's Dhananjayrao Gadgil College of Commerce, Satara – 415001 (Third Cycle)","Maharashtra","3.61","A+","2022-09-11"
"181","Rayat Shikshan Sanstha's Dr. Babasaheb Ambedkar College, Shinde Sarkar Wada, Aundh, Pune – 411067 (Third Cycle)","Maharashtra","2.76","B++","2022-09-11"
"182","S. B. Jain Institute of Technology, Management and Research, Yerla, Nagpur – 441501 (First Cycle)","Maharashtra","3.02","A","2022-09-11"
"183","S. P. D. M. Arts, S. B. B. and S. H. D. Commerce and S. M. A. Science College,  Dhule – 425405 (Second Cycle) ","Maharashtra","2.8","B","2021-03-28"
"184","S. P. M. Science and Gilani Arts Commerce College, Yavatmal, Ghatanji – 445301  (Second Cycle)","Maharashtra","2.21","B","2021-01-18"
"185","S. P. M. Tatyasaheb Mahajan Arts and Commerce College, Buldana – 443201 (Second Cycle)","Maharashtra","2.23","B","2020-11-14"
"186","S. S. Girls College, Vithhal Nagar, Ansari Ward, Gondia – 441601 (Third Cycle)","Maharashtra","2.57","B+","2022-09-11"
"187","S. V. C. S. B.Ed. College, Solapur – 413006 (First Cycle)","Maharashtra","2.77","B","2021-01-18"
"188","Saket College of Arts, Science and Commerce, Katemanivali, Kalyan (East) – 421306 (First Cycle)","Maharashtra","2.12","B","2022-09-11"
"189","Samaj Shikshan Mandal Vinzar's Amruteshwar Arts Commerce and Science College, Pune – 412213 (Second Cycle) ","Maharashtra","2.08","B","2021-03-16"
