"","Gender","sub.group.name"
"358","M","Chemical"
"359","M","Chemical"
"360","M","Chemical"
"361","F","Chemical"
"362","M","Chemical"
"363","F","Chemical"
"364","M","Chemical"
"365","M","Chemical"
"366","M","Chemical"
"367","M","Chemical"
"368","F","Chemical"
"369","M","Chemical"
"370","M","Chemical"
"371","M","Chemical"
"372","F","Chemical"
"373","F","Chemical"
"374","M","Chemical"
"375","M","Chemical"
"376","M","Chemical"
"377","F","Chemical"
"378","F","Chemical"
"379","M","Chemical"
"380","M","Chemical"
"381","M","Chemical"
"382","M","Chemical"
"383","M","Chemical"
"384","M","Chemical"
"385","F","Chemical"
"386","F","Chemical"
"387","F","Chemical"
"388","M","Chemical"
"389","M","Chemical"
"390","M","Chemical"
"391","F","Chemical"
"397","M","Chemical"
"398","F","Chemical"
"399","F","Chemical"
"400","M","Chemical"
"401","F","Chemical"
"402","M","Chemical"
"403","M","Chemical"
"404","F","Chemical"
"405","M","Chemical"
"406","M","Chemical"
"407","M","Chemical"
"408","M","Chemical"
"409","M","Chemical"
"411","F","Plastic"
"412","F","Plastic"
"413","F","Chemical"
"414","M","Chemical"
"415","M","Chemical"
"416","F","Chemical"
"417","M","Machanical"
"418","M","Chemical"
"419","M","Chemical"
"420","M","Chemical"
"421","F","Plastic"
"422","M","Chemical"
"423","M","Chemical"
"424","M","Chemical"
"425","M","Chemical"
"426","M","Chemical"
"427","M","Chemical"
"428","M","Chemical"
"429","M","Chemical"
"443","M","Chemical"
"444","M","Chemical"
"445","M","Chemical"
"446","M","Chemical"
"447","M","Chemical"
"448","M","Chemical"
"449","M","Chemical"
"450","F","Chemical"
"451","M","Chemical"
"452","F","Chemical"
"453","M","Food Technology"
"454","F","Chemical"
"455","F","Computer & IT"
"456","M","Machanical"
"457","M","Knitting Technology"
"458","M","Machanical"
"459","M","Chemical"
"460","M","Food Technology"
"461","M","Man made Textile Chemistry"
"462","F","Metallurgy (Foundry Technology)"
"463","M","Chemical"
"464","M","Chemical"
"465","M","Chemical"
"466","M","Chemical"
"467","M","Machanical"
"468","M","Chemical"
"469","M","Chemical"
"470","M","Chemical"
"472","M","Chemical"
"473","M","Chemical"
"474","M","Chemical"
"475","F","Chemical"
"476","F","Chemical"
"477","M","Chemical"
"478","M","Chemical"
"479","M","Chemical"
"480","F","Chemical"
"481","M","Chemical"
"482","F","Chemical"
"483","M","Chemical"
"484","M","Chemical"
"485","M","Chemical"
"486","M","Chemical"
"487","M","Chemical"
"488","M","Chemical"
"489","M","Chemical"
"490","M","Chemical"
"491","M","Chemical"
"492","M","Chemical"
"493","M","Chemical"
"494","M","Chemical"
"495","M","Chemical"
"496","M","Chemical"
"497","M","Chemical"
"498","F","Chemical"
"499","M","Chemical"
"501","M","Chemical"
"502","M","Plastic"
"503","M","Chemical"
"504","M","Chemical"
"505","M","Chemical"
"506","M","Chemical"
"507","M","Chemical"
"508","F","Chemical"
"509","M","Chemical"
"510","M","Chemical"
"511","M","Chemical"
"512","M","Chemical"
"513","M","Chemical"
"514","M","Chemical"
"515","F","Chemical"
"516","M","Chemical"
"517","M","Chemical"
"518","M","Chemical"
"519","M","Chemical"
"520","M","Chemical"
"521","M","Chemical"
"522","M","Chemical"
"523","M","Chemical"
"524","M","Chemical"
"525","M","Plastic"
"526","M","Chemical"
"527","M","Chemical"
"528","M","Chemical"
"529","M","Chemical"
"530","M","Chemical"
"531","M","Chemical"
"532","M","Chemical"
"533","M","Chemical"
"534","M","Chemical"
"535","M","Chemical"
