,Institute Code,Institute dict
299,6628,Pune
300,6632,Pune
301,6634,Pune
302,6635,Pune
303,6640,Solapur
304,6643,Solapur
305,6644,Sangli
306,6649,Pune
307,6732,Pune
308,6754,Pune
309,6755,Pune
310,6756,Solapur
311,6757,Satara
312,6758,Pune
313,6759,Pune
314,6762,Sangli
315,6766,Satara
316,6767,Pune
317,6768,Pune
318,6769,Pune
319,6770,Pune
320,6772,Pune
321,6780,Kolhapur
322,6781,Solapur
323,6782,Solapur
324,6786,Pune
325,6787,Pune
326,6794,Pune
327,6795,Pune
328,6796,Pune
329,6797,Satara
330,6802,Pune
331,6803,Kolhapur
332,6808,Pune
333,6815,Pune
334,6822,Pune
335,6834,Pune
336,6839,Kolhapur
337,6878,Kolhapur
338,6901,Solapur
