,Institute Code,Institute Name
80,3197,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai"
81,3198,"Konkan Gyanpeeth College of Engineering, Karjat"
82,3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai"
83,3200,"Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri"
84,3201,"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai"
85,3202,Rajendra Mane College of Engineering & Technology Ambav Deorukh
86,3203,"Atharva College of Engineering,Malad(West),Mumbai"
87,3204,"St. Francis Institute of Technology,Borivali, Mumbai"
88,3206,"S.S.P.M.'s College of Engineering, Kankavli"
89,3207,"Mahatma Education Society's Pillai College of Engineering, New Panvel"
90,3208,"Don Bosco Institute of Technology, Mumbai"
91,3209,"K J Somaiya Institute of Engineering and Information Technology, Sion, Mumbai"
92,3210,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)"
93,3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai"
94,3212,"WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY, ULHASNAGAR"
95,3214,"Xavier Institute Of Engineering C/O Xavier Technical Institute,Mahim,Mumbai"
96,3215,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai"
97,3216,"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri"
98,3217,"Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane"
99,3218,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar"
100,3219,"Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur"
101,3221,"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon"
102,3222,"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar"
103,3223,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad"
104,3224,"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat"
105,3351,"Bharat College of Engineering, Kanhor, Badlapur(W)"
106,3353,"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat, Mumbai"
107,3423,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai"
108,3436,"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath."
